,岗位名称,公司名称,城市,地点,薪资,基本要求,公司状况,岗位技能,公司福利
1250,电商掌柜支持（数据分析）,鲸灵集团,杭州,[余杭区],5k-10k,5k-10k 经验1-3年 / 不限,消费生活 / B轮 / 150-500人,电商运营 数据分析 用户运营,“绩效奖金，带薪年假，弹性工作，五险一金”
1251,数据分析工程师,新浪微博,杭州,[拱墅区],20k-40k,20k-40k 经验不限 / 本科,文娱丨内容 / 上市公司 / 2000人以上,数据分析 数据库,“机器学习、核心业务”
1252,初级金融、互联网 数据分析挖掘机器学习研究岗,长亮科技,杭州,[江南],10k-20k,10k-20k 经验1-3年 / 硕士,企业服务 / 上市公司 / 2000人以上,算法 数据挖掘 数据分析,"“金融科技,学习环境,提升空间,大平台”"
1253,大数据分析工程师,微选,杭州,[西湖区],15k-22k,15k-22k 经验5-10年 / 不限,"移动互联网,电商 / 未融资 / 150-500人",电商 新零售,“发展空间大”
1254,反作弊数据分析经理,扶摇文化,杭州,[钱江新城],30k-50k,30k-50k 经验3-5年 / 不限,广告营销 / 天使轮 / 50-150人,广告营销 大数据 数据分析 数据运营,“互联网国外市场 大数据 广告”
1255,服务运营专员（数据分析方向） (MJ001143),挖财,杭州,[高新文教区],7k-10k,7k-10k 经验不限 / 不限,工具 / D轮及以上 / 500-2000人,数据分析,“发展空间大 福利待遇好”
1256,大数据分析项目经理,安恒信息,杭州,[西兴],15k-20k,15k-20k 经验3-5年 / 本科,"信息安全,数据服务 / D轮及以上 / 500-2000人",信息安全,“五险一金 带薪年假 国内外旅游”
1257,大数据分析与模型建设岗,泰隆银行,杭州,[望江],25k-30k,25k-30k 经验1-3年 / 本科,金融 / 不需要融资 / 2000人以上,大数据 数据分析,“薪酬丰厚、亲情a+b”
1258,产品运营实习(数据分析方向),一周CP,杭州,[文一路],3k-4k,3k-4k 经验应届毕业生 / 大专,"移动互联网,社交 / A轮 / 15-50人",社交 移动互联网 运营 产品运营 内容运营 数据分析,"“期权鼓励,扁平管理,全民持股,弹性上班”"
1259,数据分析经理,安居客,武汉,[水果湖],10k-15k,10k-15k 经验5-10年 / 本科,移动互联网 / 上市公司 / 500-2000人,策略运营 数据分析,“绩效奖金、平台发展、储备干部”
1260,高级数据分析师,跟谁学,武汉,[珞南],13k-20k,13k-20k 经验3-5年 / 本科,"移动互联网,教育 / 上市公司 / 2000人以上",数据分析,“六险一金、 周末双休 、带薪年假、餐补等”
1261,数据分析师,悦然心动,武汉,[洪山区],10k-20k,10k-20k 经验不限 / 不限,"社交,游戏 / 上市公司 / 150-500人",可视化 数据库 数据分析,“带薪出国游；千万级用户”
1262,数据分析师,盛天网络,武汉,[东湖新技术…],12k-20k,12k-20k 经验5-10年 / 本科,"游戏,文娱丨内容 / 上市公司 / 500-2000人",数据分析 数据运营,“福利好 发展快”
1263,数据分析师/数据运营/数据产品经理,Helens,武汉,[光谷],10k-20k,10k-20k 经验3-5年 / 本科,"消费生活,文娱丨内容 / 不需要融资 / 2000人以上",大数据 新零售 BI 增长黑客 数据分析 数据运营,“弹性工作，包食宿，别墅办公”
1264,【提前批】数据分析师(J10845),斗鱼直播,武汉,[关山],10k-20k,10k-20k 经验应届毕业生 / 硕士,文娱丨内容 / 上市公司 / 2000人以上,移动互联网 数据分析,“福利待遇好，发展空间大”
1265,数据分析,木仓科技,武汉,[关山],6k-12k,6k-12k 经验1-3年 / 本科,移动互联网 / B轮 / 150-500人,移动互联网 SQL 数据运营,“扁平化管理+发展空间大+高于行业薪酬体系”
1266,数据分析师（武汉）,VIPKID,武汉,[关山],15k-25k,15k-25k 经验3-5年 / 本科,教育 / D轮及以上 / 2000人以上,数据分析 数据运营 数据库 SQL,"“年底多薪,风口行业,独角兽,六险一金”"
1267,数据分析经理（光谷）,字节跳动,武汉,[东湖新技术…],15k-30k,15k-30k 经验3-5年 / 本科,文娱丨内容 / C轮 / 2000人以上,数据分析,“六险一金，餐补，租房补贴，带薪休假”
1268,数据分析师/数据产品经理,小米,武汉,[流芳],18k-36k,18k-36k 经验5-10年 / 本科,硬件 / D轮及以上 / 2000人以上,大数据,“五险一金、弹性工作、双休、团队氛围好”
1269,高级数据分析师,福韵数据服务有限公司,武汉,[珞狮南路],10k-20k,10k-20k 经验3-5年 / 不限,"移动互联网,数据服务 / A轮 / 150-500人",数据分析 数据挖掘 SQLServer MySQL,“五险一金，年终奖，培训”
1270,高级数据分析师,优品财富管理有限公司,武汉,[流芳],12k-20k,12k-20k 经验5-10年 / 本科,金融 / 未融资 / 500-2000人,移动互联网 SQLServer 数据仓库,"“BAT团队,团队氛围好,晋升空间大”"
1271,资深数据分析师,Today今天连锁便利,武汉,[硚口区],15k-25k,15k-25k 经验3-5年 / 本科,消费生活 / B轮 / 500-2000人,新零售 电商 数据分析 数据挖掘 数据仓库,“平台大 发展快 不打卡”
1272,数据分析师,去哪儿网,武汉,[流芳],5k-8k,5k-8k 经验1-3年 / 大专,旅游 / 不需要融资 / 2000人以上,电商 数据分析,“弹性时间 周末双休 五险一金”
1273,数据分析师,长江云新媒体集团,武汉,[中北路],4k-7k,4k-7k 经验1-3年 / 本科,"移动互联网,数据服务 / 未融资 / 150-500人",数据分析 数据运营,“五险一金，饭补，交通费，周末双休”
1274,数据分析主管,盛天网络,武汉,[江夏区],15k-20k,15k-20k 经验5-10年 / 本科,"游戏,文娱丨内容 / 上市公司 / 500-2000人",电商 可视化 BI 数据分析 数据运营,“福利好 发展快”
