,岗位名称,公司名称,城市,地点,薪资,基本要求,公司状况,岗位技能,公司福利
260,广告数据分析师,拾梦文化,上海,[漕河泾],10k-20k,10k-20k 经验3-5年 / 本科,"游戏,移动互联网 / A轮 / 50-150人",广告创意 广告协调,"“老板好,福利好,团建多”"
261,数据分析管培生（2020届） (MJ000707),上海你我贷互联网金融信息服务,上海,[东方路],10k-20k,10k-20k 经验1年以下 / 硕士,金融 / 上市公司 / 500-2000人,数据分析,“平台大，福利多，发展前景好”
262,商业数据分析师,驰骛科技ChiefClouds,上海,[徐汇区],15k-30k,15k-30k 经验3-5年 / 本科,"数据服务,移动互联网 / A轮 / 50-150人",广告营销 数据分析,“员工餐 年度体检 免费零食 不打卡”
263,业务数据分析(J10479),哈啰出行,上海,[闵行区],25k-45k,25k-45k 经验3-5年 / 本科,"移动互联网,硬件 / D轮及以上 / 2000人以上",数据分析,“五险一金 弹性工作时间 补贴”
264,高级数据分析师,触宝,上海,[闵行区],25k-40k,25k-40k 经验3-5年 / 本科,"移动互联网,数据服务 / 上市公司 / 500-2000人",移动互联网 商业 数据分析 增长黑客 可视化,“美股上市公司，团队牛人多”
265,高级数据分析师/数据分析专家,长投学堂,上海,[浦东新区],30k-40k,30k-40k 经验3-5年 / 硕士,移动互联网 / A轮 / 150-500人,大数据 数据分析,“平台好，发展空间大”
266,业务数据分析,旺旺集团,上海,[虹桥],6k-8k,6k-8k 经验1-3年 / 大专,"电商,移动互联网 / 上市公司 / 2000人以上",数据分析 SPSS,“节日福利、七天年假、员工班车、加班工资”
267,高级数据分析师,Oriente,上海,[陆家嘴],25k-40k,25k-40k 经验5-10年 / 本科,"移动互联网,金融 / B轮 / 500-2000人",SQL 数据分析,“补贴，培训基金，期权，五险一金，出国旅游”
268,产品数据分析师,携程,上海,[北新泾],10k-15k,10k-15k 经验1-3年 / 本科,旅游 / 上市公司 / 2000人以上,SQL 数据库,“五险一金 节假日福利 带薪年假”
269,32216W-数据分析,平安健康互联网,上海,[龙华],10k-15k,10k-15k 经验1年以下 / 本科,"移动互联网,医疗丨健康 / 上市公司 / 2000人以上",医疗健康,"“五险一金,绩效奖金,定期体检,带薪年假”"
270,高级商业分析师/高级数据分析师,上海你我贷互联网金融信息服务,上海,[浦东新区],20k-40k,20k-40k 经验3-5年 / 本科,金融 / 上市公司 / 500-2000人,数据分析,“纳斯达克上市公司 职位上升空间大”
271,数据分析师(商业方向，中高级,一面数据,上海,[淮海路],10k-20k,10k-20k 经验1-3年 / 本科,"移动互联网,数据服务 / A轮 / 50-150人",大数据,“大数据人工智能；名校系大牛；技术氛围浓”
272,数据分析师,华鑫证券,上海,[徐家汇],12k-20k,12k-20k 经验1-3年 / 不限,金融 / 上市公司 / 500-2000人,金融 数据分析,“领导是大牛、福利待遇好、晋升空间大”
273,高级数据分析-hw,掌门集团,上海,[浦东新区],20k-35k,20k-35k 经验5-10年 / 本科,"移动互联网,消费生活 / B轮 / 500-2000人",移动互联网,"“股票期权,弹性工作,行业独角兽”"
274,商业分析/数据分析,硬糖视频,上海,[潍坊],8k-15k,8k-15k 经验1-3年 / 硕士,文娱丨内容 教育 / A轮 / 15-50人,媒体 商业 数据分析,“福利优渥 行业领头羊 团队包容性强”
275,数据分析师,上海银行信用卡中心,上海,[浦东新区],15k-18k,15k-18k 经验3-5年 / 本科,金融 / 不需要融资 / 2000人以上,银行 数据分析 SPSS,"“正式编制,餐补车贴,带薪年假,八险一金”"
276,商业数据分析师,驰骛科技ChiefClouds,上海,[虹梅路],18k-36k,18k-36k 经验3-5年 / 本科,"数据服务,移动互联网 / A轮 / 50-150人",电商 大数据 商业 SQL 数据分析,“体检 员工餐 不打卡 地铁周边”
277,业务数据分析,旺旺集团,上海,[虹桥],6k-8k,6k-8k 经验不限 / 不限,"电商,移动互联网 / 上市公司 / 2000人以上",其他 数据分析,“节日福利、七天年假、员工班车、加班工资”
278,房产行业数据分析师,安居客,上海,[陆家嘴],11k-15k,11k-15k 经验1-3年 / 本科,"移动互联网,企业服务 / 不需要融资 / 2000人以上",运营 内容运营,“高温采暖、五险一金、法定假期、年终奖等”
279,高级数据分析经理,达达-京东到家,上海,[平凉路],30k-50k,30k-50k 经验5-10年 / 本科,消费生活 / D轮及以上 / 2000人以上,新零售 本地生活 BI 数据分析,“处在风口的发展平台，牛逼的团队”
280,商业数据分析师,上海小牛互娱智能科技有限公司,上海,[张江],15k-30k,15k-30k 经验5-10年 / 本科,移动互联网 / 未融资 / 500-2000人,数据分析,“年底双薪 加班晚餐 免费打车”
281,市场数据分析师,携程,上海,[北新泾],10k-15k,10k-15k 经验1-3年 / 本科,旅游 / 上市公司 / 2000人以上,数据分析 市场,"“国际业务,平台大”"
282,游戏数据分析师（海外）,上海米哈游,上海,[徐汇区],15k-30k,15k-30k 经验3-5年 / 本科,"移动互联网,游戏 / 不需要融资 / 500-2000人",游戏 BI 数据分析,"“六险一金,年度旅游,带薪休假,扁平化”"
283,数据分析师,北风网,上海,[陆家嘴],15k-25k,15k-25k 经验3-5年 / 本科,教育 / C轮 / 150-500人,教育,“五险一金 节假日福利 公司大平台大舞台”
284,客户成功数据分析师,HARB,上海,[徐汇区],10k-15k,10k-15k 经验1-3年 / 本科,企业服务 / B轮 / 50-150人,电商 大数据 数据分析,"“发展空间大,管理扁平,弹性工作,福利好”"
285,高级数据分析师,掌门集团,上海,[浦东新区],20k-30k,20k-30k 经验3-5年 / 本科,"移动互联网,消费生活 / B轮 / 500-2000人",后端 服务器端,"“弹性工作,福利待遇好,千万级用户,工作氛围好”"
286,财务数据分析,淘集集,上海,[静安区],15k-25k,15k-25k 经验3-5年 / 本科,电商 / B轮 / 500-2000人,电商 分析,“福利待遇、发展前景、公司氛围”
287,数据分析师,京东数字科技,上海,[城隍庙],20k-40k,20k-40k 经验3-5年 / 本科,金融 / 上市公司 / 2000人以上,移动互联网 BI 数据分析 数据库,“福利待遇、人才发展”
288,数据分析,亿泽ETBI,上海,[华漕],6k-12k,6k-12k 经验不限 / 不限,"数据服务,企业服务 / 不需要融资 / 50-150人",房产服务 企业服务 BI 可视化 数据库,“五险一金，年终分红。”
289,数据分析专员（电商方向）,复漫,上海,[嘉定区],8k-12k,8k-12k 经验1-3年 / 大专,电商 / B轮 / 50-150人,电商 数据分析 SQL 数据库 数据运营,“五险一金 年终奖 带薪年假 高提成”
290,数据分析主管,斐毡,上海,[长宁区],7k-9k,7k-9k 经验1-3年 / 大专,其他 / 不需要融资 / 150-500人,数据分析,"“弹性工作,节日福利,员工旅游,五险一金”"
291,数据分析师,晨哨网,上海,[普陀区],15k-25k,15k-25k 经验3-5年 / 本科,金融 / 天使轮 / 15-50人,数据分析,“-----全员期权 骨干股权-----”
292,风险数据分析师 (MJ001721),欢聚时代（YY Inc）,上海,[新天地],15k-30k,15k-30k 经验3-5年 / 本科,文娱丨内容 / 上市公司 / 2000人以上,移动互联网 风控,"“福利多,平台大”"
293,游戏数据分析,上海米哈游,上海,[徐汇区],20k-40k,20k-40k 经验1-3年 / 本科,"移动互联网,游戏 / 不需要融资 / 500-2000人",游戏 数据分析 SPSS,"“扁平化,知名项目,年底多薪,六险一金”"
294,数据分析岗,平安健康互联网,上海,[龙华],15k-20k,15k-20k 经验3-5年 / 本科,"移动互联网,医疗丨健康 / 上市公司 / 2000人以上",BI 数据分析,“上市公司，互联网医疗，独角兽，薪资福利佳”
295,高级数据分析师,八九杂谈,上海,[杨浦区],15k-30k,15k-30k 经验不限 / 大专,"社交,消费生活 / 未融资 / 15-50人",数据分析,“数据管理”
296,数据分析,上海科发,上海,[漕河泾],3k-4k,3k-4k 经验应届毕业生 / 硕士,数据服务 / 不需要融资 / 50-150人,大数据,“数据 团队建设”
297,高级数据分析经理,达达-京东到家,上海,[平凉路],30k-50k,30k-50k 经验5-10年 / 硕士,消费生活 / D轮及以上 / 2000人以上,电商 移动互联网 数据分析 BI 增长黑客（GrowthHacking）,"“数据分析,经理,管理20+”"
298,数据分析师（设备健康管理方向）,柏楚电子,上海,[闵行区],11k-19k,11k-19k 经验1-3年 / 硕士,"硬件,其他 / 不需要融资 / 150-500人",数据分析,“免费三餐、五险一金、健身房、年度出游”
299,游戏数据分析师,字节跳动,上海,[徐汇区],20k-30k,20k-30k 经验3-5年 / 本科,文娱丨内容 / C轮 / 2000人以上,数据分析,“弹性工作，免费三餐，租房补贴，带薪休假”
300,数据分析工程师,平安健康互联网,上海,[龙华],20k-28k,20k-28k 经验3-5年 / 本科,"移动互联网,医疗丨健康 / 上市公司 / 2000人以上",医疗健康 移动互联网,“世界500强、晋升空间大、福利待遇好”
301,数据分析师,玳鸽,上海,[杨浦区],10k-18k,10k-18k 经验1-3年 / 硕士,"企业服务,区块链 / A轮 / 50-150人",大数据 移动互联网,“团建旅游 企业培训”
302,数据分析师,爱奇尔,上海,[中远两湾城],8k-12k,8k-12k 经验1-3年 / 本科,"电商,移动互联网 / 不需要融资 / 50-150人",移动互联网 大数据 数据分析 商业 BI 数据库,"“跨国财团,14+薪,弹性工作,非外包项目”"
303,数据分析产品经理,电视猫MoreTV,上海,[张江],18k-25k,18k-25k 经验3-5年 / 本科,"移动互联网,硬件 / B轮 / 150-500人",视频 产品策划 智能硬件 数据分析,“团队氛围好，快速成长”
304,数据分析实习生,黑湖科技,上海,[静安区],5k-6k,5k-6k 经验应届毕业生 / 本科,"企业服务,数据服务 / B轮 / 150-500人",MySQL 数据分析 数据仓库 数据处理,"“顶级vc,精英团队,前沿技术,硅谷文化”"
305,商业数据分析,度小满金融,上海,[张江],25k-50k,25k-50k 经验5-10年 / 本科,金融 / A轮 / 500-2000人,风险分析 风控,“福利待遇 发展空间 团队氛围”
306,风险数据分析师,安居客,上海,[浦东新区],18k-25k,18k-25k 经验1-3年 / 本科,移动互联网 / 上市公司 / 500-2000人,移动互联网 大数据 风控 分析师 策略设计,“福利待遇发展前景好”
307,数据分析师,拓端数据,上海,[宝山区],8K-12K,8K-12K 经验1-3年 / 本科,"数据服务,电商 / 未融资 / 少于15人",大数据 BI 数据分析 SPSS,"“弹性工作,零食茶点,丰富活动”"
308,数据分析师,艾大,上海,[中山公园],8k-16k,8k-16k 经验应届毕业生 / 硕士,"企业服务,数据服务 / 未融资 / 15-50人",金融 算法 数据挖掘 数据分析,"“专业团队,晋升机会,扁平化管理,带薪年假”"
309,广告数据分析师,爱奇艺,上海,[长宁区],20k-35k,20k-35k 经验3-5年 / 本科,文娱丨内容 / 上市公司 / 2000人以上,数据分析,“发展前景好”
310,能源数据分析助理研究员,中科院上海高研院,上海,[张江],10k-18k,10k-18k 经验不限 / 硕士,"电商,数据服务 / 不需要融资 / 500-2000人",大数据,“事业单位”
311,商业分析师/数据分析师,阅文集团,上海,[张江],20k-40k,20k-40k 经验3-5年 / 本科,文娱丨内容 / 上市公司 / 500-2000人,数据分析,"“Top团队,福利好,环境佳,发展快”"
312,数据分析助理,上海南棠实业有限公司,上海,[金桥],5k-7k,5k-7k 经验应届毕业生 / 本科,电商 / 不需要融资 / 150-500人,电商 数据分析,“每年一次体检、五险一金、过节福利”
313,可视化数据分析,海万科技,上海,[张江],6k-8k,6k-8k 经验1-3年 / 本科,"移动互联网,金融 / 不需要融资 / 500-2000人",MySQL 数据处理,“五险一金　　　年终奖　　　体检旅游　　　”
314,SQL数据分析师,京东集团,上海,[北新泾],15k-25k,15k-25k 经验3-5年 / 本科,电商 / 上市公司 / 2000人以上,电商 SQLServer 数据分析,“电商平台业务”
315,数据分析经理,平安健康互联网,上海,[龙华],21k-35k,21k-35k 经验5-10年 / 本科,"移动互联网,医疗丨健康 / 上市公司 / 2000人以上",数据分析 数据运营,“500强平台 互联网医疗独角兽”
316,数据分析师（实习生）,乐麦信息技术（杭州）有限公司,上海,[遵义路],1k-2k,1k-2k 经验应届毕业生 / 本科,电商 / 不需要融资 / 500-2000人,电商 SPSS 数据分析,“周末双休、节日福利”
317,数据分析师,神州数码,上海,[北新泾],8k-15k,8k-15k 经验不限 / 硕士,"硬件,数据服务 / 上市公司 / 500-2000人",数据分析 商业,"“上市公司,平台广阔,项目机会,机遇晋升”"
318,数据分析实习生,上海青悦,上海,[洞泾],3k-5k,3k-5k 经验不限 / 本科,数据服务 / 不需要融资 / 少于15人,大数据 算法 数据挖掘 数据分析,“海量数据可供练习”
319,数据分析师,拓端数据,上海,[宝山区],8K-10K,8K-10K 经验1-3年 / 本科,"数据服务,电商 / 未融资 / 少于15人",大数据 商业 BI 可视化 数据分析,"“弹性,高薪,自宅工作”"
320,数据分析实习,云鹊医疗,上海,[花木],3k-4k,3k-4k 经验应届毕业生 / 不限,"医疗丨健康,移动互联网 / 不需要融资 / 150-500人",医疗健康 数据分析 BI,“有留用机会”
321,高级游戏数据分析师,网易,上海,[徐家汇],15k-20k,15k-20k 经验不限 / 本科,电商 / 上市公司 / 2000人以上,游戏 数据分析 数据挖掘,“晋升空间大”
322,数据分析,星魄科技,上海,[花木],20k-30k,20k-30k 经验3-5年 / 本科,"企业服务,硬件 / 未融资 / 少于15人",增长黑客 BI 可视化,“五险一金”
323,数据分析及科学决策岗,永诚保险,上海,[东外滩],20k-40k,20k-40k 经验3-5年 / 本科,"金融,移动互联网 / 上市公司 / 2000人以上",征信 保险,“带薪年假/定期体检/餐补/交通通讯补助/”
324,风控数据分析,收钱吧,上海,[普陀区],8k-15k,8k-15k 经验1-3年 / 本科,移动互联网 / C轮 / 500-2000人,数据分析 SQL,“互联网公司氛围 牛逼团队 广阔发展空间”
325,数据分析实习生,英臻科技,上海,[长宁区],3k-5k,3k-5k 经验不限 / 本科,硬件 / A轮 / 50-150人,大数据 数据分析 SPSS,"“团队年轻,在校实习”"
326,美图商业策略数据分析师,美图公司,上海,[北京西路],15k-30k,15k-30k 经验3-5年 / 本科,硬件 / 上市公司 / 2000人以上,数据分析 市场分析 营销策略,“上市公司 六险一金 核心业务”
327,实习生 - SEO/SEM/数据分析方向,储田商务,上海,[金杨新村],2k-4k,2k-4k 经验应届毕业生 / 本科,"移动互联网,数据服务 / 不需要融资 / 15-50人",运营 SEM SEO 数据分析,"“实战培训,学习补贴,可转正,环境好”"
328,风控数据分析师,曙星网络,上海,[静安区],10k-20k,10k-20k 经验1-3年 / 本科,"电商,金融 / 不需要融资 / 15-50人",金融 移动互联网 风控 信用产品,“公司福利多多”
329,数据分析实习生,爱奇尔,上海,[中远两湾城],3k-5k,3k-5k 经验应届毕业生 / 本科,"电商,移动互联网 / 不需要融资 / 50-150人",电商 移动互联网 商业 BI 数据分析 数据库,"“跨国财团,弹性工作，有留用转正机会”"
330,数据分析师,SAS,上海,[徐家汇],20k-40k,20k-40k 经验5-10年 / 硕士,"企业服务,数据服务 / 不需要融资 / 2000人以上",银行 数据分析,“全球最佳雇主”
331,数据分析师讲师,北风网,上海,[东方路],15k-30k,15k-30k 经验3-5年 / 本科,"教育,数据服务 / B轮 / 150-500人",教育 数据分析,"“美女多,不需要加班,交通方便,领导很好”"
332,实习生-数据分析助理,上海晏鼠计算机技术有限公司,上海,[五角场],3k-4k,3k-4k 经验应届毕业生 / 本科,"移动互联网,电商 / 不需要融资 / 15-50人",大数据,“周末双休、五险一金、员工旅游”
333,数据分析师,波思代尔,上海,[陆家嘴],5k-10k,5k-10k 经验不限 / 硕士,"广告营销,文娱丨内容 / 未融资 / 15-50人",教育 数据分析 SPSS,“工作地点为线上”
334,bi数据分析师,闪电降价APP,上海,[汶水路],10k-15k,10k-15k 经验1-3年 / 本科,"移动互联网,电商 / B轮 / 150-500人",电商 数据挖掘 数据架构 算法,“大平台 六险一金 年终奖金 扁平化管理”
335,bi数据分析师,海万科技,上海,[洋泾],12k-18k,12k-18k 经验3-5年 / 本科,"移动互联网,金融 / 不需要融资 / 500-2000人",数据分析 SQL,“大项目，大平台”
336,数据分析专员,Evolve,上海,[周家嘴路],20k-25k,20k-25k 经验1-3年 / 本科,"社交,消费生活 / 上市公司 / 150-500人",大数据 数据分析,“五险一金 弹性工作 年终奖金 节日福利”
337,数据分析经理,瑞安房地产,上海,[黄浦区],25k-35k,25k-35k 经验5-10年 / 本科,其他 / 上市公司 / 500-2000人,房产服务 BI 数据分析 SQL,“优质地产开发商 外企”
338,数据分析运营,美团点评,上海,[长宁区],15k-25k,15k-25k 经验3-5年 / 本科,消费生活 / 上市公司 / 2000人以上,运营,“大平台，核心业务”
339,02215M-BI数据分析师,平安人寿,上海,[浦东新区],10k-18k,10k-18k 经验1年以下 / 本科,金融 / 上市公司 / 2000人以上,BI 商业 可视化 数据分析,"“五险一金,带薪年假,年终分红,免费班车”"
340,2019校招-数据分析师（社会化媒体）,AdMaster,上海,[金沙江路],6k-8k,6k-8k 经验应届毕业生 / 本科,数据服务 / 不需要融资 / 2000人以上,广告营销 汽车 营销 数据分析 行业分析 市场分析,"“发展空间大,福利待遇好,专业化培训,升职迅速”"
341,数据分析师,瀚亚资本,上海,[虹桥],30k-40k,30k-40k 经验3-5年 / 不限,金融 / 不需要融资 / 2000人以上,目标管理,“职位发展空间大”
342,数据分析师/数据分析专家,浙江名天,上海,[张江],30k-50k,30k-50k 经验3-5年 / 硕士,"移动互联网,电商 / 不需要融资 / 50-150人",大数据 数据挖掘,“薪资高、福利好”
343,数据分析实习生,上海青悦,上海,[洞泾],3k-5k,3k-5k 经验应届毕业生 / 不限,数据服务 / 不需要融资 / 少于15人,大数据 数据分析 数据挖掘,“海量数据可供练习”
344,BI数据分析师,淘集集,上海,[静安区],15k-25k,15k-25k 经验3-5年 / 本科,电商 / B轮 / 500-2000人,电商 移动互联网 ETL Spark 数据仓库 数据分析,“平台大，空间大，福利好”
345,大数据开发工程师（数据分析）,2345.com,上海,[浦东新区],15k-30k,15k-30k 经验3-5年 / 本科,"数据服务,移动互联网 / 上市公司 / 500-2000人",Hadoop 数据分析 Hive,"“A股上市,风口项目,待遇丰厚,氛围融洽”"
346,数据分析师实习,中云数据,上海,[浦东新区],2k-4k,2k-4k 经验应届毕业生 / 大专,数据服务 / 未融资 / 15-50人,大数据,“倡导“专人专长、有才就有位”的用人原则。”
347,初级数据分析师（实习岗）,麦图科技,上海,[长宁区],4k-8k,4k-8k 经验应届毕业生 / 本科,数据服务 / A轮 / 15-50人,大数据 数据挖掘 数据分析,"“带薪年假,弹性工作,扁平管理”"
348,初级数据分析师,至数,上海,[虹梅路],5k-10k,5k-10k 经验应届毕业生 / 不限,"数据服务,硬件 / A轮 / 15-50人",数据分析,“发展前景好”
349,信贷数据分析师(上海),小米,上海,[漕河泾],15k-29k,15k-29k 经验不限 / 不限,硬件 / D轮及以上 / 2000人以上,数据分析,“上市公司 年终奖 餐补”
350,BI数据分析师,奇虎360金融,上海,[浦东新区],18k-35k,18k-35k 经验1-3年 / 本科,金融 / 上市公司 / 500-2000人,SQL 数据分析 数据运营 SPSS,"“平台大,薪酬高,福利好,弹性工作制”"
351,风控数据分析师,虎推网络,上海,[七宝],16k-22k,16k-22k 经验3-5年 / 硕士,企业服务 / 未融资 / 少于15人,数据分析,“年终奖、节日福利、旅游、不定期活动等”
352,BI Manager - BI数据分析经理,Shopee,上海,[徐汇区],14k-18k,14k-18k 经验5-10年 / 本科,电商 / 上市公司 / 2000人以上,电商 移动互联网 数据分析 数据挖掘 数据处理 算法,"“跨境电商,东南亚市场,老板强,工作氛围赞”"
353,SFJ-大数据挖掘与分析工程师（数据分析方向）,顺丰科技有限公司,上海,[徐家汇],25k-50k,25k-50k 经验3-5年 / 硕士,物流丨运输 / 不需要融资 / 2000人以上,Hive,“弹性工作时间 发展空间大 午餐补贴”
354,商业数据分析,MarcPoint,上海,[漕河泾],10k-15k,10k-15k 经验1-3年 / 本科,"电商,广告营销 / A轮 / 15-50人",数据分析 消费者分析 市场分析,“工作氛围open 优秀团队 薪资福利好”
355,bi数据分析师,韩创科技,上海,[浦东新区],15k-20k,15k-20k 经验1-3年 / 本科,"移动互联网,文娱丨内容 / 不需要融资 / 500-2000人",数据挖掘 数据分析,“大平台，互联网内容运营先锋，国际项目”
356,数据分析实习,SAS,上海,[徐家汇],2k-4k,2k-4k 经验应届毕业生 / 硕士,"企业服务,数据服务 / 不需要融资 / 2000人以上",银行 解决方案,“全球最佳雇主”
357,销售数据分析,旺旺集团,上海,[闵行区],6k-8k,6k-8k 经验1-3年 / 大专,"电商,移动互联网 / 上市公司 / 2000人以上",新零售 数据分析,“数据分析”
358,风控数据分析师（偏数据建模）,毒APP,上海,[虹口足球场],25k-50k,25k-50k 经验3-5年 / 本科,"移动互联网,电商 / B轮 / 500-2000人",电商 SQL,“一年多薪 核心产品 扁平管理 氛围好”
359,BI数据分析工程师,上海分蛋信息科技有限公司深圳分公司,上海,[城隍庙],12k-18k,12k-18k 经验不限 / 本科,移动互联网 / B轮 / 150-500人,数据分析,“五险一金 加班补助 年终奖 员工旅游”
360,风控数据分析,有鱼金融科技,上海,[虹梅路],10k-20k,10k-20k 经验1-3年 / 大专,"移动互联网,金融 / 不需要融资 / 500-2000人",风控,“五险一金、年终奖、带薪年假”
361,游戏舆情数据分析师,上海米哈游,上海,[徐汇区],15k-30k,15k-30k 经验不限 / 本科,"移动互联网,游戏 / 不需要融资 / 500-2000人",数据分析 数据挖掘 NLP 算法,"“扁平化,知名项目,年底多薪,六险一金”"
362,BI数据分析师,快牛金科,上海,[北新泾],20k-25k,20k-25k 经验3-5年 / 本科,其他 / B轮 / 500-2000人,BI 数据分析,“五险一金 带薪年假 年底N薪 年度旅游”
363,BI数据分析专家,米立,上海,[虹梅路],25k-50k,25k-50k 经验3-5年 / 本科,移动互联网 / A轮 / 50-150人,电商 移动互联网 数据分析 数据库开发 SQLServer,“弹性工作、旅游、股票期权”
364,安全数据分析平台高级开发工程师,上海瑞阙文化发展有限公司,上海,[黄浦区],40k-80k,40k-80k 经验1-3年 / 本科,"移动互联网,金融 / 不需要融资 / 150-500人",安全,"“弹性工作,提供晚餐”"
365,能源数据分析助理研究员,中科院上海高研院,上海,[张江],10k-15k,10k-15k 经验应届毕业生 / 硕士,"电商,数据服务 / 不需要融资 / 500-2000人",大数据,“事业单位”
366,财务分析（数据分析）,企鹅杏仁,上海,[漕宝路],10k-15k,10k-15k 经验1-3年 / 本科,"移动互联网,消费生活 / B轮 / 500-2000人",数据分析,"“晋升快,内部培训”"
367,高级数据分析总监,靖琪,上海,[虹口区],50k-100k,50k-100k 经验5-10年 / 本科,移动互联网 / 天使轮 / 50-150人,电商 工具软件,"“公司实力强,成长空间大,福利待遇好”"
368,商业数据分析实习生G04978,新浪微博,上海,[城隍庙],2k-3k,2k-3k 经验不限 / 本科,文娱丨内容 / 上市公司 / 2000人以上,数据分析,“互联网行业”
369,用户运营（偏数据分析）,本来生活网,上海,[徐汇区],8k-13k,8k-13k 经验3-5年 / 本科,消费生活 / C轮 / 2000人以上,用户运营 数据分析,“牛人带教、准上市”
370,风控数据分析师,京东集团,上海,[北新泾],15k-30k,15k-30k 经验3-5年 / 本科,电商 / 上市公司 / 2000人以上,数据分析,“大平台、福利好、牛人多”
371,汽车行业数据分析实习生,时代嘉道咨询机构，嘉道信息技术,上海,[天山路],2k-4k,2k-4k 经验不限 / 本科,"数据服务,广告营销 / 未融资 / 150-500人",数据分析,“接触汽车产业，了解市场热点，与大咖共事。”
372,bi数据分析师,备实必,上海,[浦东新区],7k-14k,7k-14k 经验1-3年 / 本科,"移动互联网,数据服务 / 不需要融资 / 少于15人",企业服务 工具软件 数据挖掘 数据架构 数据仓库 数据分析,"“绩效奖金,交通报销,五险一金,定期体检”"
373,风控数据分析师,猛犸科技,上海,[龙华],15k-30k,15k-30k 经验1-3年 / 本科,金融 / 未融资 / 15-50人,金融 数据分析 数据运营 SPSS SQL,“五险一金、节日福利、境外旅游”
374,数据分析BI实习生,寻找母星,上海,[田林],2k-4k,2k-4k 经验应届毕业生 / 本科,"移动互联网,消费生活 / A轮 / 50-150人",移动互联网 BI 数据分析,"“工程师文化,晋升空间大,阿里大牛 ”"
375,数据分析师 Data Account Manage,埃特公关,上海,[黄浦区],10k-15k,10k-15k 经验3-5年 / 本科,广告营销 / 不需要融资 / 50-150人,数据分析,“六险一金，团队氛围好，办公环境好”
376,数据分析运营实习生,北京创联,上海,[曹家渡],2k-3k,2k-3k 经验不限 / 本科,企业服务 / 上市公司 / 150-500人,数据分析,“美资上市公司；有转正机会”
377,后端开发工程师 | 区块链数据分析,blockdynamics,上海,[周家桥],25k-50k,25k-50k 经验3-5年 / 不限,区块链 / 未融资 / 少于15人,大数据 后端 MySQL 区块链 架构师,“股权机会，硅谷团队，晋升平台，高速成长”
378,大数据分析工程师（数据产品分析方向）,上海元聚,上海,[田林],10k-15k,10k-15k 经验1-3年 / 本科,移动互联网 / 不需要融资 / 150-500人,数据分析 MySQL 数据挖掘,"“五险一金,员工旅游,绩效奖金,定期体检”"
379,实习生（数据分析方向）,CraiditX,上海,[徐汇区],3k-5k,3k-5k 经验应届毕业生 / 本科,"金融,数据服务 / B轮 / 50-150人",金融 数据分析,"“弹性工作,精英团队,零食水果,可转正”"
380,Python数据分析师,传智播客,上海,[航头],25k-40k,25k-40k 经验5-10年 / 本科,"移动互联网,教育 / 上市公司 / 2000人以上",数据挖掘 数据处理,“不打卡、扁平管理、年度旅游、公司氛围好”
381,华东策略运营（用户数据分析方向）,字节跳动,上海,[闵行区],12k-20k,12k-20k 经验3-5年 / 本科,文娱丨内容 / C轮 / 2000人以上,营销 数字营销 社会化营销 整合营销 互相营销,“六险一金，免费三餐，租房补贴，带薪休假”
382,咨询项目助理（数据分析方向）,客锐市场信息,上海,[曹家渡],2k-4k,2k-4k 经验应届毕业生 / 不限,数据服务 / 不需要融资 / 15-50人,大数据,"“咨询,发展空间大,可留用,成长空间大”"
383,数据分析经理,GeexFinance,上海,[五角场],15k-30k,15k-30k 经验5-10年 / 本科,金融 / A轮 / 150-500人,风控,"“精英团队,消费分期,快速发展”"
384,数据分析师（风控方向）,拼多多,上海,[长宁区],20k-40k,20k-40k 经验不限 / 本科,"电商,移动互联网 / 上市公司 / 2000人以上",数据分析,“上升空间大，成长迅速，平台好，薪酬待遇高”
385,数据分析师（社交方向）,拼多多,上海,[长宁区],20k-40k,20k-40k 经验1-3年 / 本科,"电商,移动互联网 / 上市公司 / 2000人以上",MySQL Hadoop Spark 数据分析,“福利待遇、发展前景、技术大牛”
386,数据分析师（风控方向）,拼多多,上海,[长宁区],20k-40k,20k-40k 经验1-3年 / 本科,"电商,移动互联网 / 上市公司 / 2000人以上",电商 移动互联网 SQL 数据库,“上升空间大，成长迅速，平台好，薪酬待遇高”
387,数据分析师,拼多多,上海,[长宁区],20k-40k,20k-40k 经验1-3年 / 硕士,"电商,移动互联网 / 上市公司 / 2000人以上",电商 移动互联网 数据分析 SQL,“上升空间大，成长迅速，平台好，薪酬待遇高”
388,业务数据分析,拼多多,上海,[长宁区],15k-25k,15k-25k 经验3-5年 / 本科,"电商,移动互联网 / 上市公司 / 2000人以上",电商 数据分析,"“提供三餐,发展空间大,绩效奖金”"
389,数据分析师（智能客服方向）,拼多多,上海,[长宁区],20k-40k,20k-40k 经验3-5年 / 本科,"电商,移动互联网 / 上市公司 / 2000人以上",电商 数据分析 SQLServer Hive,“成长空间”
390,数据分析师（广告方向）,拼多多,上海,[长宁区],20k-40k,20k-40k 经验3-5年 / 本科,"电商,移动互联网 / 上市公司 / 2000人以上",Hive MySQL 数据分析,“福利待遇好，团队氛围好，公司潜力佳”
391,数据分析实习生,算话智能科技有限公司,上海,[长宁区],3k-5k,3k-5k 经验不限 / 本科,"数据服务,移动互联网 / B轮 / 50-150人",大数据 数据分析,“优秀团队、绩效奖金、福利津贴、定期体检”
